Board :MB784 ,,PCB rev B,,,,,,,,,,,,,,
Designer name,Qing shao,,,,,,,,,,,,,,,


Part Number (ST or sub co),Quantity,"Description (fonction, value, ..)",Reference (topologic number),Version,Package,Manufacturer 1,Part#1,Manufacturer 2 second source,Part#2 Second source,Distributor,Order code,Fitted or not fitted,Supplied by (ST or Sub Co),ROHS Compliant,Comments,Variant
,1,RESET,B1,,PB10,Wealth Metal Factory Ltd (www.wealthmetal.com),TD0341X-G01(black),,,,,,manley,lead free,,base
,1,WKUP,B2,,PB10,Wealth Metal Factory Ltd (www.wealthmetal.com),TD0341X-G01(blue),,,,,,manley,lead free,,base
,1,USER,B3,,PB10,Wealth Metal Factory Ltd (www.wealthmetal.com),TD0341X-G01(blue),,,,,,manley,lead free,,base
,1,TAMPER,B4,,PB10,Wealth Metal Factory Ltd (www.wealthmetal.com),TD0341X-G01(blue),,,,,,manley,lead free,,base
,13,,"JP1,JP3, JP4, JP7, JP8, JP10, JP11,JP12,JP13,JP14,JP16,JP23,JP24",,SIP3,"SHANGHAI HUGE ELECTERICAL UNITED DEVELOPMENT CO.,LTD (www.chinahuge.com)",2211S-3G,,,,,,manley,lead free,,base
,2,,"SW1, SW2,",,SIP3,RS,204-7865,,,,,,manley,lead free,,base
,1,CR1220 holder,BT1,,LI1220_1,BEIJING XCF TECHNOLOGY Ltd.(www.xcfbattery.com),CR1220(for battery) and XCF-12(for holder),,,,,,manley,lead free,,base
,16,do not fit,"C59, C64, C65, C66, C67, C68, C69, C70, C71, C72 , R54, R55,  R62, R118, R119, R120",,603,www.fenghua-advanced.com,,,,,,do not fit,,lead free,,base
,2,10nF,"C60, C73",,603,www.fenghua-advanced.com,0603B103K500NT,,,,,,manley,lead free,,base
,52,100nF,"C1,C2,C3,C4,C5,C6,C7,C8,C48,C13, C14, C15,  C20, C21, C22, C23, C24, C28, C29, C30, C31, C32, C33, C34,  C37, C38, C39, C40, C41, C42,  C52, C53, C54, C55, C56, C57, C58, C62, C63,  C77, C80,  C89, C90, C91, C92, C81, C82, C83, C84, C85, C86, C87",,603,www.fenghua-advanced.com,0603B104K500NT,,,,,,manley,lead free,,base
,2,0.022UF,"C43,C44",,603,www.fenghua-advanced.com,0603B223K500NT,,,,,,manley,lead free,,base
,1,0.47UF,C78,,603,www.fenghua-advanced.com,0603B474K500NT,,,,,,manley,lead free,,base
,2,1nF,"C61, C88",,603,www.fenghua-advanced.com,0603B102K500NT,,,,,,manley,lead free,,base
,2,10pF,"C16, C17",,603,www.fenghua-advanced.com,0603B120K500NT,,,,,,manley,lead free,,base
,4,20pF,"C9, C10, C18, C19",,603,www.fenghua-advanced.com,0603B200K500NT,,,,,,manley,lead free,,base
,2,150PF(COG),"C93, C94",,603,www.fenghua-advanced.com,0603CG151J500NT,,,,,,manley,lead free,,base
,5,10uF,"C11,C25, C26, C51, C75",,TAN-A,AVC,TAJA106K016RNJ,,,,,,manley,lead free,,base
,3,4.7uF,"C35, C36, C12",,TAN-A,AVC,TAJA475K016RNJ,,,,,,manley,lead free,,base
,2,1UF,"C47, C76",,TAN-A,AVC,TAJA105K016RNJ,,,,,,manley,lead free,,base
,6,1uF,"C27, C45, C46, C49, C50, C95",,603,www.fenghua-advanced.com,0603B105K500NT,,,,,,manley,lead free,,base
,1,10uF,C74,,C160M,SAMYOUNG,MVK16VC106KBPDTP,,,,,,manley,lead free,,base
,2,220uF,"C79, C79_1",,C310M,SAMYOUNG,MVK16VC227KBPDTP,,,,,,manley,lead free,,base
,1,RJ45 connector,CN1,,J0011D21B,PULSE,J0011D21B,,,,,,manley,lead free,,base
,2,VB334,"CN10, CN11",,VB334,EMERSON,VB334,,,,,,manley,lead free,,base
,1,DB9-male CAN connector,CN3,,DB9/M,"SHANGHAI HUGE ELECTERICAL UNITED DEVELOPMENT CO.,LTD (www.chinahuge.com)",5504F1C9P,,,,,,manley,lead free,,base
,1,USB MICRO AB connector,CN2,,,MOLEX,475900001,,,,,,manley,lead free,"(ref to be used on PCB rev B )about RMB2.00/PCS,leadtime 6~8W,MOQ:10500PCS in molex  HK$7.10/piece in farnell. 0.88USD/pcs in Dig-iKey",base
,1,FTSH-110-01-L-DV,CN12,,FTSH-110-01-L-DV,SAMTEC,FTSH-110-01-L-DV,,,,,,manley,lead free,,base
,1,DB9-male USART2,CN4,,DB9/M,"SHANGHAI HUGE ELECTERICAL UNITED DEVELOPMENT CO.,LTD (www.chinahuge.com)",5504F1C9P,,,,,,manley,lead free,,base
,1,JTAG,CN13,,IDC20S,"SHANGHAI HUGE ELECTERICAL UNITED DEVELOPMENT CO.,LTD (www.chinahuge.com)",2316S-20G,,,,,,manley,lead free,,base
,2,Header 25X2,"CN8, CN9",,2*25P,"SHANGHAI HUGE ELECTERICAL UNITED DEVELOPMENT CO.,LTD (www.chinahuge.com)",2213S-50G,,,,,,manley,lead free,,base
,1,DB9-male USART1,CN6,,DB9/M,"SHANGHAI HUGE ELECTERICAL UNITED DEVELOPMENT CO.,LTD (www.chinahuge.com)",5504F1C9P,,,,,,manley,lead free,,base
,1,PJS008-2000,CN16,,MSD(PJS008),Yamaichi,PJS008-2000,,,,,,manley,lead free,,base
,1,Audio Jack,CN7,,ST-212-02V,Wealth Metal Factory Ltd (www.wealthmetal.com),ST-212-02V,,,,,,manley,lead free,,base
,1,Connector to Mother board,CN15,,"2.4""LCD_connector","SHANGHAI HUGE ELECTERICAL UNITED DEVELOPMENT CO.,LTD (www.chinahuge.com)",2214S-30SG,,,,,,manley,lead free,,base
,1,Connector to Mother board,CN14,,"3.2""LCD_connector","SHANGHAI HUGE ELECTERICAL UNITED DEVELOPMENT CO.,LTD (www.chinahuge.com)",2214S-34SG,,,,,,manley,lead free,,base
,1,DC-10B,CN18,,DC10B,Wealth Metal Factory Ltd (www.wealthmetal.com),DC-10B,,,,,,manley,lead free,,base
,1,MC_connector,CN17,,IDC34S,"SHANGHAI HUGE ELECTERICAL UNITED DEVELOPMENT CO.,LTD (www.chinahuge.com)",2316S-34G,,,,,,manley,lead free,,base
,1,C816,CN5,,SAM(C816),"GUANG LIAN WEI TECHNOLOGY CO., LTD.",C816,,,,,,manley,lead free,,base
,2,LL4148,"D1, D2",,D1504,www.semtech.net.cn,LL4148,,,,,,manley,lead free,,base
,12,,"JP2,  JP5, JP6, JP9,  JP15,  JP17, JP18, JP19 , JP20, JP21, JP22, JP26",,SIP2,"SHANGHAI HUGE ELECTERICAL UNITED DEVELOPMENT CO.,LTD (www.chinahuge.com)",2211S-2G,,,,,,manley,lead free,,base
,5,,"SB1,SB2,SB3,SB4,SB5",,JP2_SMD,"SHANGHAI HUGE ELECTERICAL UNITED DEVELOPMENT CO.,LTD (www.chinahuge.com)",empty,,,,,,manley,lead free,,base
,1,,JP25,,2*3P,"SHANGHAI HUGE ELECTERICAL UNITED DEVELOPMENT CO.,LTD (www.chinahuge.com)",2213S-6G,,,,,,manley,lead free,,base
,1,BEAD,L1,,603,ati-tech advanced electronics(s)pte ltd,fcm1608-0603,,,,,,manley,lead free,,base
,3,red,"LD3, LD5, LD7",,603,EVERLIGHT(www.everlight.com),19-21SDRC/S530-A2/TR8,,,,,,manley,lead free,,base
,2,Green,"LD1, LD6",,603,EVERLIGHT(www.everlight.com),19-21SYGC/S530-E1/TR8,,,,,,manley,lead free,,base
