"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"TP8","TP","3250mil","4800mil","3250mil","4800mil","3250mil","4800mil","T","0.00","AIN+"
"TP7","TP","3400mil","4800mil","3400mil","4800mil","3400mil","4800mil","T","0.00","AIN-"
"SB5","JP2_SMD","3350mil","4625mil","3350mil","4625mil","3332mil","4633mil","T","0.00",""
"T3","SOT-23","4175mil","3700mil","4175mil","3700mil","4137.5mil","3740mil","T","90.00","9013"
"R5","0603R","4175mil","3825mil","4175mil","3825mil","4147.5mil","3825mil","T","180.00","[N/A]"
"R4","0603R","4175mil","3900mil","4175mil","3900mil","4202.5mil","3900mil","T","360.00","47K"
"R3","0603R","4125mil","1275mil","4125mil","1275mil","4152.5mil","1275mil","T","360.00","10K"
"JP26","SIP2","1575mil","3250mil","1575mil","3200mil","1575mil","3200mil","T","90.00",""
"C27","0603C","2650mil","4100mil","2650mil","4100mil","2650mil","4127.5mil","T","90.00","470nF"
"R85","0603R","2925mil","4325mil","2925mil","4325mil","2952.5mil","4325mil","T","360.00","0"
"R84","0603R","2925mil","4425mil","2925mil","4425mil","2952.5mil","4425mil","T","360.00","0"
"R83","0603R","1400mil","2950mil","1400mil","2950mil","1400mil","2922.5mil","T","270.00","0"
"TP12","TP","204.772mil","1220mil","204.772mil","1220mil","204.772mil","1220mil","T","270.00","Ground"
"TP11","TP","325mil","1225mil","325mil","1225mil","325mil","1225mil","T","270.00","5V"
"TP10","TP","205mil","1000mil","205mil","1000mil","205mil","1000mil","T","90.00","3V3"
"TP5","TP","325mil","1000mil","325mil","1000mil","325mil","1000mil","T","360.00","2V5"
"B1","PB10","950mil","350mil","950mil","350mil","772.835mil","262.5mil","T","0.00","RESET"
"B2","PB10","1625mil","350mil","1625mil","350mil","1447.835mil","262.5mil","T","0.00","WKUP"
"B3","PB10","3600mil","350mil","3600mil","350mil","3422.835mil","262.5mil","T","0.00","USER"
"B4","PB10","2400mil","350mil","2400mil","350mil","2222.835mil","262.5mil","T","0.00","Tamper"
"BT1","LI1220_1","2997.5mil","2499.508mil","3000mil","2500mil","2675mil","2500mil","T","180.00","CR1220 holder"
"C1","0603C","2475mil","5350mil","2475mil","5350mil","2475mil","5377.5mil","T","90.00","100nF"
