eeschema (20100311 SVN-R2445)-RC5  >> Creation date: Fri 12 Mar 2010 11:31:16 AM EST

#Cmp ( order = Reference ) (with SubCmp)
| C1         100nF          (Sheet /)   (loc C1); SM0805      
| C2         10uF           (Sheet /)   (loc D1); SM0805      
| C3         10uF           (Sheet /)   (loc D1); SM0805      
| C4         10nF           (Sheet /)   (loc D2); SM0805      
| C5         20pF           (Sheet /)   (loc E1); SM0805      
| C6         20pF           (Sheet /)   (loc E1); SM0805      
| C7         10pF           (Sheet /)   (loc E2); SM0805      
| C8         10pF           (Sheet /)   (loc E2); SM0805      
| C9         100nF          (Sheet /)   (loc D9); SM0805      
| C10        100nF          (Sheet /)   (loc D9); SM0805      
| C11        100nF          (Sheet /)   (loc D9); SM0805      
| C12        100nF          (Sheet /)   (loc D9); SM0805      
| C13        100nF          (Sheet /)   (loc D10); SM0805      
| C14        18pF           (Sheet /Wiznet Networking/)   (loc E5); SM0805      
| C15        18pF           (Sheet /Wiznet Networking/)   (loc E5); SM0805      
| C16        0.1uF          (Sheet /Wiznet Networking/)   (loc D5); SM0805      
| C17        0.1uF          (Sheet /Wiznet Networking/)   (loc A7); SM0805      
| C18        0.1uF          (Sheet /Wiznet Networking/)   (loc B7); SM0805      
| C19        10uF           (Sheet /Wiznet Networking/)   (loc B7); SM0805      
| C20        10uf/16V       (Sheet /Wiznet Networking/)   (loc C7); SM0805      
| C21        0.1uF          (Sheet /Wiznet Networking/)   (loc A7); SM0805      
| C22        0.1uF          (Sheet /Wiznet Networking/)   (loc B7); SM0805      
| C23        3.3uF_Tant     (Sheet /Wiznet Networking/)   (loc B7); SM1210L     
| C24        0.1uF          (Sheet /Wiznet Networking/)   (loc C7); SM0805      
| C25        0.1uF          (Sheet /Wiznet Networking/)   (loc A7); SM0805      
| C26        0.1uF          (Sheet /Wiznet Networking/)   (loc B7); SM0805      
| C27        0.1uF          (Sheet /Wiznet Networking/)   (loc A7); SM0805      
| C28        0.1uF          (Sheet /Wiznet Networking/)   (loc B7); SM0805      
| C29        0.1uF          (Sheet /Wiznet Networking/)   (loc A7); SM0805      
| C30        0.1uF          (Sheet /Wiznet Networking/)   (loc B7); SM0805      
| C31        0.1uF          (Sheet /Wiznet Networking/)   (loc B7); SM0805      
| C32        10uF/16V       (Sheet /Wiznet Networking/)   (loc C7); SM1210L     
| C33        0.1uF          (Sheet /Wiznet Networking/)   (loc B8); SM0805      
| C34        10uF/16V       (Sheet /Wiznet Networking/)   (loc B8); SM1210L     
| C35        4.7nF          (Sheet /USB Interface/)   (loc B2); SM0805      
| C36        C              (Sheet /USB Interface/)   (loc A3); SM0805      
| C37        0.01uF         (Sheet /Power Supply/)   (loc B1); SM0805      
| C38        1.8nF          (Sheet /Power Supply/)   (loc B1); SM0805      
| C39        220pF          (Sheet /Power Supply/)   (loc B2); SM0805      
| C40        47pF           (Sheet /Power Supply/)   (loc B2); SM0805      
| C41        5pF            (Sheet /Power Supply/)   (loc C2); SM0805      
| C42        5pF            (Sheet /Power Supply/)   (loc B2); SM0805      
| C43        1nF            (Sheet /Power Supply/)   (loc C2); SM0805      
| C44        10uF           (Sheet /Power Supply/)   (loc B3); SM0805      
| C45        100uF          (Sheet /Power Supply/)   (loc C3); SM1210L     
| C46        100uF          (Sheet /Power Supply/)   (loc C3); SM1210L     
| C47        10uF           (Sheet /Power Supply/)   (loc C4); SM0805      
| C48        150uF          (Sheet /Power Supply/)   (loc B4); CP10        
| C49        10uF           (Sheet /Power Supply/)   (loc B4); SM0805      
| C50        C              (Sheet /FTDI USB UART/)   (loc B2); SM0805      
| C51        C              (Sheet /FTDI USB UART/)   (loc B2); SM0805      
| D1         DIODESCH       (Sheet /)   (loc A2);             
| D2         DIODESCH       (Sheet /)   (loc A2);             
| D3         DIODESCH       (Sheet /)   (loc A2);             
| D4         LED            (Sheet /)   (loc C9); LED-0805    
| D5         LED            (Sheet /)   (loc C9); LED-0805    
| D6         LED            (Sheet /)   (loc C9); LED-0805    
| D7         LED            (Sheet /)   (loc C9); LED-0805    
| D8         LED            (Sheet /Wiznet Networking/)   (loc B5); LED-0805    
| D9         LED            (Sheet /Wiznet Networking/)   (loc B5); LED-0805    
| D10        LED            (Sheet /Wiznet Networking/)   (loc B5); LED-0805    
| D11        LED            (Sheet /Wiznet Networking/)   (loc B5); LED-0805    
| D12        LED            (Sheet /Wiznet Networking/)   (loc B5); LED-0805    
| D13        1SS181(SC-59)   (Sheet /Wiznet Networking/)   (loc A5);             
| D14        1SS181(SC-59)   (Sheet /Wiznet Networking/)   (loc A5);             
| D15        DIODESCH       (Sheet /Power Supply/)   (loc B3);             
| D16        DIODESCH       (Sheet /Power Supply/)   (loc C3);             
| D17        LED            (Sheet /FTDI USB UART/)   (loc B4); LED-0805    
| D18        LED            (Sheet /FTDI USB UART/)   (loc B4); LED-0805    
| JP1        CONN_3         (Sheet /)   (loc C1); PIN_ARRAY_3X1
| JP2        CONN_3         (Sheet /)   (loc C3); PIN_ARRAY_3X1
| JP3        CONN_3         (Sheet /)   (loc D2); PIN_ARRAY_3X1
| L1         BEAD           (Sheet /)   (loc D1);             
| L2         1uH            (Sheet /Wiznet Networking/)   (loc B7);             
| L3         1uH            (Sheet /Wiznet Networking/)   (loc C7);             
| L4         1uH            (Sheet /Wiznet Networking/)   (loc A8);             
| L5         1uH            (Sheet /Power Supply/)   (loc B3);             
| L6         15uH           (Sheet /Power Supply/)   (loc B3);             
